ticker,company_name,sector_name,sub_sector_name
UE,Urban Edge Properties,real-estate,reit-retail
FCPT,"Four Corners Property Trust, Inc.",real-estate,reit-retail
IVT,InvenTrust Properties Corp.,real-estate,reit-retail
GTY,Getty Realty Corp.,real-estate,reit-retail
NTST,NETSTREIT Corp.,real-estate,reit-retail
CBL,"CBL & Associates Properties, Inc.",real-estate,reit-retail
ALX,"Alexander's, Inc.",real-estate,reit-retail
BFS,"Saul Centers, Inc.",real-estate,reit-retail
WSR,Whitestone REIT,real-estate,reit-retail
PINE,"Alpine Income Property Trust, Inc.",real-estate,reit-retail
SITC,SITE Centers Corp.,real-estate,reit-retail
WHLR,"Wheeler Real Estate Investment Trust, Inc.",real-estate,reit-retail
AVB,"AvalonBay Communities, Inc.",real-estate,reit-residential
EQR,Equity Residential,real-estate,reit-residential
ESS,"Essex Property Trust, Inc.",real-estate,reit-residential
INVH,Invitation Homes Inc.,real-estate,reit-residential
MAA,"Mid-America Apartment Communities, Inc.",real-estate,reit-residential
SUI,"Sun Communities, Inc.",real-estate,reit-residential
UDR,"UDR, Inc.",real-estate,reit-residential
AMH,American Homes 4 Rent,real-estate,reit-residential
ELS,"Equity LifeStyle Properties, Inc.",real-estate,reit-residential
CPT,Camden Property Trust,real-estate,reit-residential
JAN,"Janus Living, Inc.",real-estate,reit-residential
MRP,"Millrose Properties, Inc.",real-estate,reit-residential
IRT,"Independence Realty Trust, Inc.",real-estate,reit-residential
UMH,"UMH Properties, Inc.",real-estate,reit-residential
NHP,"National Healthcare Properties, Inc.",real-estate,reit-residential
CSR,Centerspace,real-estate,reit-residential
NXRT,"NexPoint Residential Trust, Inc.",real-estate,reit-residential
AIV,Apartment Investment and Management Company,real-estate,reit-residential
BRT,BRT Apartments Corp.,real-estate,reit-residential
ELME,Elme Communities,real-estate,reit-residential
CLPR,Clipper Realty Inc.,real-estate,reit-residential
BHM,"Bluerock Homes Trust, Inc.",real-estate,reit-residential
EQIX,"Equinix, Inc.",real-estate,reit-specialty
AMT,American Tower Corporation,real-estate,reit-specialty
DLR,"Digital Realty Trust, Inc.",real-estate,reit-specialty
CCI,Crown Castle Inc.,real-estate,reit-specialty
IRM,Iron Mountain Incorporated,real-estate,reit-specialty
SBAC,SBA Communications Corporation,real-estate,reit-specialty
WY,Weyerhaeuser Company,real-estate,reit-specialty
LAMR,Lamar Advertising Company,real-estate,reit-specialty
GLPI,"Gaming and Leisure Properties, Inc.",real-estate,reit-specialty
RYN,Rayonier Inc.,real-estate,reit-specialty
OUT,OUTFRONT Media Inc.,real-estate,reit-specialty
EPR,EPR Properties,real-estate,reit-specialty
FRMI,Fermi Inc.,real-estate,reit-specialty
UNIT,Uniti Group Inc.,real-estate,reit-specialty
BXDC,Blackstone Digital Infrastructure Trust Inc.,real-estate,reit-specialty
FPI,Farmland Partners Inc.,real-estate,reit-specialty
LAND,Gladstone Land Corporation,real-estate,reit-specialty
SELF,"Global Self Storage, Inc.",real-estate,reit-specialty
PW,Power REIT,real-estate,reit-specialty
BXP,"BXP, Inc.",real-estate,reit-office
ARE,"Alexandria Real Estate Equities, Inc.",real-estate,reit-office
VNO,Vornado Realty Trust,real-estate,reit-office
CUZ,Cousins Properties Incorporated,real-estate,reit-office
KRC,Kilroy Realty Corporation,real-estate,reit-office
CDP,COPT Defense Properties,real-estate,reit-office
SLG,SL Green Realty Corp.,real-estate,reit-office
HIW,"Highwoods Properties, Inc.",real-estate,reit-office
DEI,"Douglas Emmett, Inc.",real-estate,reit-office
ESBA,"Empire State Realty OP, L.P.",real-estate,reit-office
DEA,"Easterly Government Properties, Inc.",real-estate,reit-office
PDM,"Piedmont Realty Trust, Inc.",real-estate,reit-office
PSTL,"Postal Realty Trust, Inc.",real-estate,reit-office
HPP,"Hudson Pacific Properties, Inc.",real-estate,reit-office
BDN,Brandywine Realty Trust,real-estate,reit-office
NLOP,Net Lease Office Properties,real-estate,reit-office
ONL,Orion Properties Inc.,real-estate,reit-office
FSP,Franklin Street Properties Corp.,real-estate,reit-office
CMCT,Creative Media & Community Trust Corporation,real-estate,reit-office
