ticker,company_name,sector_name
CSR,Centerspace,real-estate
TWO,Two Harbors Investment Corp.,real-estate
CIM,Chimera Investment Corporation,real-estate
SAFE,Safehold Inc.,real-estate
JBGS,JBG SMITH Properties,real-estate
MMI,"Marcus & Millichap, Inc.",real-estate
PDM,"Piedmont Realty Trust, Inc.",real-estate
PMT,PennyMac Mortgage Investment Trust,real-estate
MFA,"MFA Financial, Inc.",real-estate
EXPI,"eXp World Holdings, Inc.",real-estate
WSR,Whitestone REIT,real-estate
NHP,"National Healthcare Properties, Inc.",real-estate
SVC,Service Properties Trust,real-estate
SKYH,Sky Harbour Group Corporation,real-estate
BRSP,"BrightSpire Capital, Inc.",real-estate
PKST,Peakstone Realty Trust,real-estate
PSTL,"Postal Realty Trust, Inc.",real-estate
NXRT,"NexPoint Residential Trust, Inc.",real-estate
IVR,Invesco Mortgage Capital Inc.,real-estate
ADAM,"Adamas Trust, Inc.",real-estate
FPH,"Five Point Holdings, LLC",real-estate
RWT,"Redwood Trust, Inc.",real-estate
FBRT,"Franklin BSP Realty Trust, Inc.",real-estate
STRW,"Strawberry Fields REIT, Inc.",real-estate
SDHC,Smith Douglas Homes Corp.,real-estate
AIV,Apartment Investment and Management Company,real-estate
TRTX,"TPG RE Finance Trust, Inc.",real-estate
AHRT,AH REALTY TRUST INC,real-estate
CTO,"CTO Realty Growth, Inc.",real-estate
GOOD,Gladstone Commercial Corporation,real-estate
INN,"Summit Hotel Properties, Inc.",real-estate
RMR,The RMR Group Inc.,real-estate
UHT,Universal Health Realty Income Trust,real-estate
HPP,"Hudson Pacific Properties, Inc.",real-estate
BDN,Brandywine Realty Trust,real-estate
ILPT,Industrial Logistics Properties Trust,real-estate
OLP,"One Liberty Properties, Inc.",real-estate
FPI,Farmland Partners Inc.,real-estate
FVR,"FrontView REIT, Inc.",real-estate
XRN,Chiron Real Estate Inc.,real-estate
CHCT,Community Healthcare Trust Incorporated,real-estate
REAX,The Real Brokerage Inc.,real-estate
CLDT,Chatham Lodging Trust,real-estate
LAND,Gladstone Land Corporation,real-estate
FRPH,"FRP Holdings, Inc.",real-estate
KREF,KKR Real Estate Finance Trust Inc.,real-estate
CMTG,"Claros Mortgage Trust, Inc.",real-estate
RMAX,"RE/MAX Holdings, Inc.",real-estate
PINE,"Alpine Income Property Trust, Inc.",real-estate
NREF,"NexPoint Real Estate Finance, Inc.",real-estate
TCI,"Transcontinental Realty Investors, Inc.",real-estate
MLP,"Maui Land & Pineapple Company, Inc.",real-estate
RC,Ready Capital Corporation,real-estate
ACRE,Ares Commercial Real Estate Corporation,real-estate
SITC,SITE Centers Corp.,real-estate
SEG,Seaport Entertainment Group Inc.,real-estate
BRT,BRT Apartments Corp.,real-estate
MITT,"TPG Mortgage Investment Trust, Inc.",real-estate
REFI,"Chicago Atlantic Real Estate Finance, Inc.",real-estate
STRS,Stratus Properties Inc.,real-estate
ARL,"American Realty Investors, Inc.",real-estate
AOMR,"Angel Oak Mortgage REIT, Inc.",real-estate
NEN,New England Realty Associates Limited Partnership,real-estate
OZ,"Belpointe PREP, LLC",real-estate
NLOP,Net Lease Office Properties,real-estate
MDV,"Modiv Industrial, Inc.",real-estate
ELME,Elme Communities,real-estate
SEVN,Seven Hills Realty Trust,real-estate
DOUG,Douglas Elliman Inc.,real-estate
BHR,Braemar Hotels & Resorts Inc.,real-estate
CHCI,"Comstock Holding Companies, Inc.",real-estate
ONL,Orion Properties Inc.,real-estate
CLPR,Clipper Realty Inc.,real-estate
BHM,"Bluerock Homes Trust, Inc.",real-estate
SRG,Seritage Growth Properties,real-estate
AXR,AMREP Corporation,real-estate
ACR,ACRES Commercial Realty Corp.,real-estate
LPA,Logistic Properties of the Americas,real-estate
RPT,Rithm Property Trust Inc.,real-estate
SUNS,"Sunrise Realty Trust, Inc.",real-estate
STHO,Star Holdings,real-estate
CHMI,Cherry Hill Mortgage Investment Corporation,real-estate
JFB,JFB Construction Holdings,real-estate
MAYS,"J.W. Mays, Inc.",real-estate
ASPS,Altisource Portfolio Solutions S.A.,real-estate
GPMT,Granite Point Mortgage Trust Inc.,real-estate
FSP,Franklin Street Properties Corp.,real-estate
RFL,"Rafael Holdings, Inc.",real-estate
LFT,"Lument Finance Trust, Inc.",real-estate
SELF,"Global Self Storage, Inc.",real-estate
AEI,Alset Inc.,real-estate
DUO,Fangdd Network Group Ltd.,real-estate
LOAN,"Manhattan Bridge Capital, Inc.",real-estate
SACH,Sachem Capital Corp.,real-estate
OPAD,Offerpad Solutions Inc.,real-estate
FTHM,Fathom Holdings Inc.,real-estate
MKZR,"MacKenzie Realty Capital, Inc.",real-estate
EUDA,EUDA Health Holdings Limited,real-estate
MRNO,Murano Global Investments Plc,real-estate
OMH,Ohmyhome Limited,real-estate
AIRE,reAlpha Tech Corp.,real-estate
NYC,American Strategic Investment Co.,real-estate
MDRR,"Medalist Diversified, Inc.",real-estate
AHT,"Ashford Hospitality Trust, Inc.",real-estate
LHAI,Linkhome Holdings Inc.,real-estate
LRE,"Lead Real Estate Co., Ltd",real-estate
GYRO,"Gyrodyne, LLC",real-estate
CMCT,Creative Media & Community Trust Corporation,real-estate
IHT,InnSuites Hospitality Trust,real-estate
RENX,RenX Enterprises Corp.,real-estate
SQFT,"Presidio Property Trust, Inc.",real-estate
GBR,"New Concept Energy, Inc.",real-estate
ALBT,Avalon GloboCare Corp.,real-estate
PW,Power REIT,real-estate
GIPR,"Generation Income Properties, Inc.",real-estate
UK,Ucommune International Ltd,real-estate
WHLR,"Wheeler Real Estate Investment Trust, Inc.",real-estate
LRHC,La Rosa Holdings Corp.,real-estate
