ticker,company_name,sector_name
VITL,"Vital Farms, Inc.",consumer-staples
MAMA,"Mama's Creations, Inc.",consumer-staples
DDL,Dingdong (Cayman) Limited,consumer-staples
HELE,Helen of Troy Limited,consumer-staples
WEST,Westrock Coffee Company,consumer-staples
CVGW,"Calavo Growers, Inc.",consumer-staples
NATR,"Nature's Sunshine Products, Inc.",consumer-staples
GOTU,Gaotu Techedu Inc.,consumer-staples
KLC,"KinderCare Learning Companies, Inc.",consumer-staples
BGS,"B&G Foods, Inc.",consumer-staples
MGPI,"MGP Ingredients, Inc.",consumer-staples
WILC,G. Willi-Food International Ltd.,consumer-staples
LWAY,"Lifeway Foods, Inc.",consumer-staples
BYND,"Beyond Meat, Inc.",consumer-staples
HNST,"The Honest Company, Inc.",consumer-staples
SNDL,SNDL Inc.,consumer-staples
MAGN,Magnera Corporation,consumer-staples
LND,BrasilAgro - Companhia Brasileira de Propriedades AgrÃ­colas,consumer-staples
AGCC,Agencia Comercial Spirits Ltd,consumer-staples
NUS,"Nu Skin Enterprises, Inc.",consumer-staples
OTLY,Oatly Group AB,consumer-staples
USNA,"USANA Health Sciences, Inc.",consumer-staples
VFF,"Village Farms International, Inc.",consumer-staples
ALCO,"Alico, Inc.",consumer-staples
EWCZ,"European Wax Center, Inc.",consumer-staples
AFRI,Forafric Global PLC,consumer-staples
BRCC,BRC Inc.,consumer-staples
YSG,Yatsen Holding Limited,consumer-staples
FC,Franklin Covey Co.,consumer-staples
PTNM,Pitanium Limited,consumer-staples
LMNR,Limoneira Company,consumer-staples
COE,51Talk Online Education Group,consumer-staples
ACU,Acme United Corporation,consumer-staples
LGCY,Legacy Education Inc.,consumer-staples
BUDA,"Buda Juice, Inc.",consumer-staples
CHGG,"Chegg, Inc.",consumer-staples
SKIN,SkinHealth Systems Inc.,consumer-staples
HFFG,HF Foods Group Inc.,consumer-staples
BHST,BioHarvest Sciences Inc.,consumer-staples
SLSN,"Solesence, Inc.",consumer-staples
ZVIA,Zevia PBC,consumer-staples
TWG,Top Wealth Group Holding Limited,consumer-staples
IH,iHuman Inc.,consumer-staples
DIT,AMCON Distributing Company,consumer-staples
FTLF,"FitLife Brands, Inc.",consumer-staples
ISPR,Ispire Technology Inc.,consumer-staples
DDC,DDC Enterprise Limited,consumer-staples
YOUL,Youlife Group Inc.,consumer-staples
RYM,"RYTHM, Inc.",consumer-staples
CLNN,Clene Inc.,consumer-staples
HAIN,"The Hain Celestial Group, Inc.",consumer-staples
BRID,Bridgford Foods Corporation,consumer-staples
LFVN,LifeVantage Corporation,consumer-staples
SKIL,Skillsoft Corp.,consumer-staples
LOCL,Local Bounti Corporation,consumer-staples
VHUB,"VenHub Global, Inc.",consumer-staples
BOF,BranchOut Food Inc.,consumer-staples
AACG,ATA Creativity Global,consumer-staples
GNS,Genius Group Limited,consumer-staples
PFAI,Pinnacle Food Group Limited,consumer-staples
GROV,"Grove Collaborative Holdings, Inc.",consumer-staples
STG,Sunlands Technology Group,consumer-staples
REED,"Reed's, Inc.",consumer-staples
SRXH,SRx Health Solutions Inc.,consumer-staples
RYET,Ruanyun Edai Technology Inc.,consumer-staples
BRFH,"Barfresh Food Group, Inc.",consumer-staples
LSF,"Laird Superfood, Inc.",consumer-staples
SOWG,Sow Good Inc.,consumer-staples
UG,"United-Guardian, Inc.",consumer-staples
JVA,"Coffee Holding Co., Inc.",consumer-staples
FARM,Farmer Bros. Co.,consumer-staples
ABVE,Above Food Ingredients Inc.,consumer-staples
WYHG,Wing Yip Food Holdings Group Limited,consumer-staples
BRLS,Borealis Foods Inc.,consumer-staples
FEDU,Four Seasons Education (Cayman) Inc.,consumer-staples
YQ,17 Education & Technology Group Inc.,consumer-staples
RMCF,"Rocky Mountain Chocolate Factory, Inc.",consumer-staples
EPSM,Epsium Enterprise Limited,consumer-staples
COOT,Australian Oilseeds Holdings Limited,consumer-staples
YHC,LQR House Inc.,consumer-staples
FAMI,"Farmmi, Inc.",consumer-staples
NAII,"Natural Alternatives International, Inc.",consumer-staples
EDTK,Skillful Craftsman Education Technology Limited,consumer-staples
MYND,"Mynd.ai, Inc.",consumer-staples
WVVI,"Willamette Valley Vineyards, Inc.",consumer-staples
DSY,Big Tree Cloud Holdings Limited,consumer-staples
MTEX,"Mannatech, Incorporated",consumer-staples
VSA,VisionSys AI Inc.,consumer-staples
AGRZ,Agroz Inc.,consumer-staples
WAFU,Wah Fu Education Group Limited,consumer-staples
