ticker,company_name,sector_name,sub_sector_name
BDL,"Flanigan's Enterprises, Inc.",consumer-discretionary,restaurants
THCH,TH International Limited,consumer-discretionary,restaurants
STKS,"The ONE Group Hospitality, Inc.",consumer-discretionary,restaurants
RAVE,"Rave Restaurant Group, Inc.",consumer-discretionary,restaurants
ARKR,Ark Restaurants Corp.,consumer-discretionary,restaurants
GTIM,Good Times Restaurants Inc.,consumer-discretionary,restaurants
REBN,"Reborn Coffee, Inc.",consumer-discretionary,restaurants
PETZ,"TDH Holdings, Inc.",consumer-discretionary,restaurants
CCHH,CCH Holdings Ltd,consumer-discretionary,restaurants
BTBD,"BT Brands, Inc.",consumer-discretionary,restaurants
VSTD,Vestand Inc.,consumer-discretionary,restaurants
CHSN,Chanson International Holding,consumer-discretionary,restaurants
CASY,"Casey's General Stores, Inc.",consumer-discretionary,specialty-retail
WSM,"Williams-Sonoma, Inc.",consumer-discretionary,specialty-retail
ULTA,"Ulta Beauty, Inc.",consumer-discretionary,specialty-retail
DKS,"DICK'S Sporting Goods, Inc.",consumer-discretionary,specialty-retail
TSCO,Tractor Supply Company,consumer-discretionary,specialty-retail
BBY,"Best Buy Co., Inc.",consumer-discretionary,specialty-retail
FIVE,"Five Below, Inc.",consumer-discretionary,specialty-retail
MUSA,Murphy USA Inc.,consumer-discretionary,specialty-retail
GME,GameStop Corp.,consumer-discretionary,specialty-retail
MNSO,MINISO Group Holding Limited,consumer-discretionary,specialty-retail
BBWI,"Bath & Body Works, Inc.",consumer-discretionary,specialty-retail
ASO,"Academy Sports and Outdoors, Inc.",consumer-discretionary,specialty-retail
RH,RH,consumer-discretionary,specialty-retail
BOBS,"Bob's Discount Furniture, Inc.",consumer-discretionary,specialty-retail
SVV,"Savers Value Village, Inc.",consumer-discretionary,specialty-retail
OLPX,"Olaplex Holdings, Inc.",consumer-discretionary,specialty-retail
WINA,Winmark Corporation,consumer-discretionary,specialty-retail
EYE,"National Vision Holdings, Inc.",consumer-discretionary,specialty-retail
SBH,"Sally Beauty Holdings, Inc.",consumer-discretionary,specialty-retail
ARHS,"Arhaus, Inc.",consumer-discretionary,specialty-retail
ARKO,Arko Corp.,consumer-discretionary,specialty-retail
WOOF,"Petco Health and Wellness Company, Inc.",consumer-discretionary,specialty-retail
HZO,"MarineMax, Inc.",consumer-discretionary,specialty-retail
BWMX,"Betterware de M̩xico, S.A.P.I. de C.V.",consumer-discretionary,specialty-retail
EVGO,"EVgo, Inc.",consumer-discretionary,specialty-retail
BBBY,"Bed Bath & Beyond, Inc.",consumer-discretionary,specialty-retail
BBW,"Build-A-Bear Workshop, Inc.",consumer-discretionary,specialty-retail
BNED,"Barnes & Noble Education, Inc.",consumer-discretionary,specialty-retail
FLWS,"1-800-FLOWERS.COM, Inc.",consumer-discretionary,specialty-retail
HTLM,HomesToLife Ltd.,consumer-discretionary,specialty-retail
CHPT,"ChargePoint Holdings, Inc.",consumer-discretionary,specialty-retail
ONEW,OneWater Marine Inc.,consumer-discretionary,specialty-retail
JMG,JM Group Limited,consumer-discretionary,specialty-retail
GRWG,GrowGeneration Corp.,consumer-discretionary,specialty-retail
BARK,"BARK, Inc.",consumer-discretionary,specialty-retail
ABLV,Able View Global Inc.,consumer-discretionary,specialty-retail
SPWH,"Sportsman's Warehouse Holdings, Inc.",consumer-discretionary,specialty-retail
ZOOZ,ZOOZ Strategy Ltd.,consumer-discretionary,specialty-retail
LESL,"Leslie's, Inc.",consumer-discretionary,specialty-retail
NAAS,NaaS Technology Inc.,consumer-discretionary,specialty-retail
PTLE,PTL Limited,consumer-discretionary,specialty-retail
NPT,Texxon Holding Limited,consumer-discretionary,specialty-retail
TLF,"Tandy Leather Factory, Inc.",consumer-discretionary,specialty-retail
RECT,Rectitude Holdings Ltd,consumer-discretionary,specialty-retail
JBDI,JBDI Holdings Limited,consumer-discretionary,specialty-retail
CGTL,Creative Global Technology Holdings Limited,consumer-discretionary,specialty-retail
TKLF,"Tokyo Lifestyle Co., Ltd.",consumer-discretionary,specialty-retail
BQ,Boqii Holding Limited,consumer-discretionary,specialty-retail
NVVE,Nuvve Holding Corp.,consumer-discretionary,specialty-retail
AMZN,"Amazon.com, Inc.",consumer-discretionary,internet-retail
BABA,Alibaba Group Holding Limited,consumer-discretionary,internet-retail
PDD,PDD Holdings Inc.,consumer-discretionary,internet-retail
MELI,"MercadoLibre, Inc.",consumer-discretionary,internet-retail
DASH,"DoorDash, Inc.",consumer-discretionary,internet-retail
SE,Sea Limited,consumer-discretionary,internet-retail
EBAY,eBay Inc.,consumer-discretionary,internet-retail
JD,"JD.com, Inc.",consumer-discretionary,internet-retail
CPNG,"Coupang, Inc.",consumer-discretionary,internet-retail
CART,Maplebear Inc.,consumer-discretionary,internet-retail
W,Wayfair Inc.,consumer-discretionary,internet-retail
CHWY,"Chewy, Inc.",consumer-discretionary,internet-retail
VIPS,Vipshop Holdings Limited,consumer-discretionary,internet-retail
ETSY,"Etsy, Inc.",consumer-discretionary,internet-retail
GLBE,Global-E Online Ltd.,consumer-discretionary,internet-retail
RVLV,"Revolve Group, Inc.",consumer-discretionary,internet-retail
LQDT,"Liquidity Services, Inc.",consumer-discretionary,internet-retail
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,consumer-discretionary,internet-retail
RERE,ATRenew Inc.,consumer-discretionary,internet-retail
JMIA,Jumia Technologies AG,consumer-discretionary,internet-retail
TDUP,ThredUp Inc.,consumer-discretionary,internet-retail
ZKH,ZKH Group Limited,consumer-discretionary,internet-retail
NEGG,"Newegg Commerce, Inc.",consumer-discretionary,internet-retail
